"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 11/22/2025        Panel: Mediabase - Published Canada Panel        Format: Hot AC        GRC: Currents and Recurrents        Min Spins Cut off: 5        Show Top: 150",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
2,-Rec-,-Rec-,,"LOLA YOUNG",Messy,Island/Republic,,-,154,159,-5,58,23,29,23,21,0.666,0.620,0.046,R,R,20,2,20,6.2,6.4,-0.2,-Rec-,96,57,75,-,-,-,-,-,-,75
9,-Rec-,-Rec-,,"CHARLOTTE CARDIN","99 Nights","Cult Nation",Yes,-,137,144,-7,31,23,26,29,28,0.357,0.390,-0.033,R,R,20,0,20,6.8,7.2,-0.3,-Rec-,106,55,78,19,-,-,-,-,93,158
19,-Rec-,-Rec-,,"TATE MCRAE","Revolving door","Sony Music Canada",,-,115,109,6,33,19,23,19,21,0.520,0.301,0.219,R,R,12,0,12,8.8,8.4,0.5,-Rec-,82,60,61,3,-,56,-,-,-,31
19,-Rec-,-Rec-,,BBNO$,check,bbno$,Yes,-,102,125,-23,27,14,20,16,25,0.495,0.504,-0.009,R,R,6,0,6,14.6,17.9,-3.3,-Rec-,75,65,50,-,-,69,-,-,-,149
23,-Rec-,-Rec-,,SHINEDOWN,"Three Six Five",Atlantic,,-,101,106,-5,40,12,23,19,7,0.278,0.331,-0.053,R,R,8,0,8,12.6,13.3,-0.6,-Rec-,61,61,54,-,-,-,1208,-,-,862
16,-Rec-,-Rec-,,"BILLIE DU PAGE","Fake Friends",Independent,Yes,-,99,95,4,25,10,27,15,22,0.171,0.173,-0.002,R,R,12,0,12,8.3,7.9,0.3,-Rec-,74,62,52,-,-,-,-,-,-,535
6,-Rec-,-Rec-,,"TEDDY SWIMS","The Door",Warner,,-,97,98,-1,24,19,20,12,22,0.367,0.349,0.018,R,R,19,1,19,4.8,4.9,-0.1,-Rec-,73,64,51,-,-,-,-,-,450,261
1,-Rec-,-Rec-,,"TAYLOR SWIFT","Cruel Summer",Republic,,-,92,94,-2,43,10,9,7,23,0.181,0.156,0.025,R,R,20,1,20,3.7,3.8,-0.1,-Rec-,49,96,26,22,-,172,-,-,-,189
1,-Rec-,-Rec-,,"DUA LIPA",Houdini,Warner,,-,90,84,6,35,6,27,8,14,0.308,0.269,0.039,R,R,19,0,19,4.7,4.4,0.3,-Rec-,55,70,41,-,-,-,-,-,-,557
12,-Rec-,-Rec-,,PELCH,"Last Night",Pelex,Yes,-,88,122,-34,15,9,18,15,31,0.403,0.435,-0.032,R,R,17,0,17,4.6,6.4,-1.8,-Rec-,73,69,42,-,-,-,-,-,-,161
11,-Rec-,-Rec-,,"KANE BROWN & MARSHMELLO","Miles On It","RCA Nashville/RCA",,-,80,84,-4,22,13,19,16,10,0.405,0.379,0.026,R,R,9,0,9,5.7,6.0,-0.3,-Rec-,58,67,48,-,-,-,-,-,-,80
20,-Rec-,-Rec-,,"SHAWN DESMAN","Heels On The Ground",Wax,Yes,-,73,77,-4,19,5,17,16,16,0.110,0.109,0.001,R,R,7,0,7,10.4,11.0,-0.6,-Rec-,54,71,38,-,-,112,-,-,-,-
1,-Rec-,-Rec-,,"TATE MCRAE",Greedy,RCA,,-,72,61,11,28,11,13,3,17,0.150,0.143,0.007,R,R,21,0,21,3.4,2.9,0.5,-Rec-,44,91,27,34,-,500,-,-,-,290
15,-Rec-,-Rec-,,"PRESTON PABLO","One Last Song","Universal Music Canada",Yes,-,69,77,-8,13,8,11,13,24,0.390,0.349,0.041,R,R,8,0,8,6.3,7.0,-0.7,-Rec-,56,83,32,-,-,-,-,-,-,411
19,-Rec-,-Rec-,,DASHA,Austin,Warner/WMN,,-,67,71,-4,22,7,16,12,10,0.292,0.317,-0.025,R,R,10,3,10,6.1,6.5,-0.4,-Rec-,45,79,35,-,-,51,-,-,-,97
18,-Rec-,-Rec-,,"AVRIL LAVIGNE","Young & Dumb f/Simple Plan","Big Noise/UMC",Yes,-,67,78,-11,17,9,16,11,14,0.135,0.154,-0.019,R,R,5,0,5,8.4,9.8,-1.4,-Rec-,50,74,36,-,-,55,-,-,-,790
28,-Rec-,-Rec-,,"MARSHMELLO & JELLY ROLL","Holy Water","Mercury/Big Loud/Republic",,-,62,75,-13,22,7,17,12,4,0.383,0.495,-0.112,R,R,6,0,6,8.9,10.7,-1.9,-Rec-,40,75,36,-,-,52,792,-,-,793
5,-Rec-,-Rec-,,"SABRINA CARPENTER",Feather,Island/Republic,,-,62,55,7,15,14,8,10,15,0.116,0.076,0.040,R,R,15,2,15,3.9,3.4,0.4,-Rec-,47,84,32,-,-,-,-,-,-,489
14,-Rec-,-Rec-,,"TATE MCRAE","Sports car",RCA,,-,60,57,3,17,5,15,9,14,0.163,0.143,0.020,R,R,8,2,8,6.0,5.7,0.3,-Rec-,43,88,29,-,-,-,-,-,-,133
9,-Rec-,-Rec-,,"SABRINA CARPENTER","Please Please Please",Island/Republic,,-,59,71,-12,16,3,15,14,11,0.197,0.227,-0.030,R,R,11,0,11,4.2,5.1,-0.9,-Rec-,43,85,32,-,-,-,-,-,-,224
19,-Rec-,-Rec-,,"MIKE DEMERO & ZAGATA","Take Me Away (My Love)",Artifice,Yes,-,58,57,1,8,9,16,9,16,0.508,0.536,-0.028,R,R,6,0,6,9.7,9.5,0.2,-Rec-,50,80,34,-,-,-,-,-,-,259
14,-Rec-,-Rec-,,ZEINA,Hooked,"Artist Partner",Yes,-,57,63,-6,10,6,15,13,13,0.308,0.307,0.001,R,R,6,0,6,7.1,7.9,-0.8,-Rec-,47,81,34,-,-,-,-,-,-,222
