"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 11/22/2025        Panel: Mediabase - Published Canada Panel        Format: Hot AC        GRC: Currents and Recurrents        Min Spins Cut off: 5        Show Top: 150",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
23,27,23,Yes,"MAX MCNOWN","Better Me For You",Columbia,,3,133,89,44,42,10,32,30,19,0.633,0.556,0.077,22,25,21,9,21,6.3,4.2,2.1,24,91,58,72,144,23,24,23,-,421,38
23,24,24,Yes,"FELIX CARTAL & REVE","Dancing In A Dream","Physical Presents/UMC",Yes,7,127,124,3,26,17,27,22,35,0.805,0.830,-0.025,19,18,11,0,11,10.6,10.3,0.3,23,101,59,66,12,24,39,-,-,-,60
25,26,25,Yes,"MYLES SMITH","Stay (If You Wanna Dance)",RCA,,6,106,104,2,35,12,23,17,19,0.500,0.465,0.035,24,28,5,0,5,21.2,20.8,0.4,26,71,63,52,-,25,25,-,-,-,208
21,25,26,,"CHAPPELL ROAN","The Subway",Island/Republic,,14,105,110,-5,35,10,24,16,20,0.160,0.145,0.015,55,61,10,0,10,10.5,11.0,-0.5,27,70,66,50,130,26,184,-,-,503,736
27,28,27,Yes,"TIA WOOD","Sage My Soul","Sony Music Canada",Yes,3,89,86,3,14,12,22,10,31,0.218,0.225,-0.007,45,45,10,0,10,8.9,8.6,0.3,25,75,68,44,89,27,80,-,-,-,695
28,34,28,Yes,"TATE MCRAE","TIT FOR TAT","Sony Music Canada",,1,78,60,18,11,2,12,16,37,0.164,0.179,-0.015,54,52,20,1,20,3.9,3.0,0.9,28,67,87,30,20,28,50,-,-,-,79
29,33,29,Yes,"GABRIEL FREDETTE","Tant Qu'On Est Toi Et Moi","Disques NOW",Yes,1,71,61,10,7,14,11,11,28,0.498,0.390,0.108,25,31,3,0,3,23.7,20.3,3.3,29,64,76,36,-,29,18,462,-,-,177
28,30,30,,"JF PAUZE",Ballon-Sonde,"La Tribu",Yes,7,66,73,-7,7,13,10,10,26,0.375,0.449,-0.074,33,29,3,0,3,22.0,24.3,-2.3,31,59,82,33,-,30,16,-,-,-,176
31,35,31,Yes,"ARPIN LEPINE","St Felix","Cook House",Yes,-,61,59,2,0,15,12,10,24,0.478,0.488,-0.010,27,27,2,0,2,30.5,29.5,1.0,30,61,73,37,-,31,-,-,-,-,-
32,37,32,Yes,RYMZ,Goodbye,"Joy Ride",Yes,-,60,57,3,4,13,10,4,29,0.288,0.274,0.014,38,39,3,0,3,20.0,19.0,1.0,32,56,94,27,-,32,-,-,-,-,-
32,36,33,Yes,"JOSH ROSS & AKON","Drunk Right Now (Na Na Na)","Core/Mercury Nashville",,-,60,59,1,23,12,13,11,1,0.478,0.559,-0.081,28,23,3,0,3,15.0,14.8,0.3,42,37,77,36,-,33,-,433,-,-,525
31,31,34,,KATSEYE,Gabriela,HYBE/Geffen/ICLG,,-,60,62,-2,21,3,7,12,17,0.418,0.508,-0.090,30,26,12,1,12,5.0,5.2,-0.2,38,39,102,22,30,34,43,-,-,-,120
35,38,35,Yes,"SHABOOZEY & JELLY ROLL",Amen,"ADogwood/Stoney Creek/EMP",,-,57,52,5,18,3,17,16,3,0.658,0.644,0.014,21,20,3,0,3,19.0,17.3,1.7,37,39,78,36,-,35,31,32,-,-,69
36,48,36,Yes,"JAY SCOTT","On My Way",117,Yes,-,56,38,18,7,9,12,4,24,0.346,0.259,0.087,34,43,3,0,3,18.7,12.7,6.0,33,49,97,25,-,36,33,-,-,-,342
37,43,37,Yes,"ALEX WARREN","Bloodline w/Jelly Roll",Atlantic,,-,54,43,11,16,6,16,16,0,0.418,0.343,0.075,31,33,7,0,7,7.7,6.1,1.6,39,38,72,38,103,37,47,215,-,-,687
38,93,38,Yes,"KATY PERRY",bandaids,Capitol/ICLG,,-,53,17,36,6,3,16,12,16,0.076,0.070,0.006,90,98,12,4,12,4.1,1.3,2.8,34,47,86,31,88,38,34,-,-,-,353
38,39,39,Yes,"DISCO LINES X TINASHE","No Broke Boys","Nice Life/Atlantic",,-,50,50,0,4,2,3,6,35,0.211,0.332,-0.121,47,35,12,1,12,4.2,4.2,0.0,35,46,140,11,7,39,48,-,-,-,51
40,41,40,Yes,"LUKE COMBS","Back In The Saddle",SMN/Columbia,,-,45,45,0,18,3,14,10,0,0.343,0.368,-0.025,35,32,3,1,3,15.0,15.0,0.0,50,27,95,27,-,40,-,2,-,-,5
32,32,41,,"RIA MAE","The Ring (Damn!)",---,Yes,-,45,62,-17,14,6,9,6,10,0.074,0.110,-0.036,92,74,2,0,2,15.0,20.7,-5.7,46,31,103,21,-,41,97,-,-,114,-
36,44,42,Yes,"ZACH CHICO, BENJAMIIN","Good Time","Disques NOW",Yes,-,43,43,0,6,8,3,1,25,0.233,0.270,-0.037,44,40,3,0,3,14.3,14.3,0.0,41,37,134,12,-,42,-,-,-,-,-
43,46,43,Yes,"LEON THOMAS",MUTT,Motown/ICLG,,-,42,41,1,13,4,8,6,11,0.256,0.237,0.019,41,44,5,1,5,8.4,8.2,0.2,48,29,111,18,17,43,53,-,-,-,81
44,47,44,Yes,"CLEMENT JACQUES","Les Espaces Sans Reponse","Music Manson/GSI",Yes,-,41,40,1,0,10,4,1,26,0.179,0.185,-0.006,51,51,3,0,3,13.7,13.3,0.3,36,41,126,15,-,44,96,-,-,-,-
42,45,45,,RENFORSHORT,"feeling good",Nettwerk,Yes,-,38,42,-4,8,1,10,5,14,0.114,0.132,-0.018,69,66,8,0,8,4.8,5.3,-0.5,47,30,120,16,14,45,65,-,-,-,78
42,42,46,,"BAD BUNNY",NUEVAYoL,Rimas,,-,38,44,-6,15,2,7,6,8,0.425,0.558,-0.133,29,24,1,0,1,38.0,44.0,-6.0,57,23,127,15,136,46,78,-,-,-,-
40,40,47,,"JONAS & THE JAGUAR MOON","Les Non-Dits",O'Lion,Yes,-,38,45,-7,0,4,7,3,24,0.116,0.097,0.019,67,80,2,0,2,19.0,22.5,-3.5,40,38,128,14,-,47,-,-,-,-,-
48,84,48,Yes,SOMBR,"12 To 12",Warner,,-,36,19,17,15,2,12,7,0,0.258,0.054,0.204,40,104,3,0,3,9.0,4.8,4.3,62,21,104,21,285,48,-,-,-,11,354
40,49,49,Yes,"KANE BROWN","2 Pair","RCA Nashville",,-,36,35,1,15,0,4,12,5,0.275,0.265,0.010,39,41,3,0,3,9.0,8.8,0.3,60,21,121,16,-,49,37,94,-,-,408
50,50,50,Yes,"SARA DUFOUR","Chu Melee",Coyote,Yes,-,36,35,1,0,8,9,2,17,0.238,0.263,-0.025,43,42,3,0,3,12.0,11.7,0.3,43,36,108,19,-,50,94,-,-,-,-
51,56,51,Yes,"CALVIN HARRIS","Ocean f/Jessie Reyez",Columbia,Yes,-,35,30,5,9,3,7,9,7,0.320,0.299,0.021,36,37,2,0,2,17.5,15.0,2.5,53,26,109,19,22,51,313,-,-,-,108
52,66,52,Yes,"VINCE LEMIRE","Tomber De Haut","Les Disques Passeport",Yes,-,33,24,9,0,4,5,1,23,0.208,0.102,0.106,49,76,3,0,3,11.0,8.0,3.0,45,33,143,10,-,52,-,229,-,-,-
53,60,53,Yes,RAYE,"WHERE IS MY HUSBAND!","Human Re/The Orchard",,-,33,27,6,0,3,2,2,26,0.057,0.023,0.034,100,124,12,3,12,2.8,2.3,0.5,44,33,148,7,29,53,111,-,-,63,129
42,53,54,Yes,LOUD,"Quelque Chose","Joy Ride",Yes,-,33,32,1,10,4,5,3,11,0.150,0.168,-0.018,59,55,2,0,2,16.5,16.0,0.5,58,23,135,12,-,54,30,-,-,-,346
33,55,55,Yes,"RUSSELL DICKERSON","Happen To Me","Columbia/Triple Tigers",,-,32,31,1,12,2,9,7,2,0.153,0.139,0.014,58,63,6,1,6,4.6,4.4,0.1,64,20,112,18,36,55,91,-,-,-,53
36,52,56,,"JO & LAZY","Au Canada","Faces Prod",Yes,-,28,33,-5,0,5,7,4,12,0.207,0.221,-0.014,50,46,2,0,2,9.3,11.0,-1.7,49,28,122,16,-,56,-,-,-,-,-
36,145,57,Yes,"ED SHEERAN","Sapphire f/Arijit Singh",Atlantic,,-,27,6,21,9,0,9,3,6,0.078,0.022,0.056,88,126,1,0,1,27.0,6.0,21.0,68,18,136,12,195,57,-,-,-,-,-
55,69,58,Yes,BIGXTHAPLUG,"All The Way f/Bailey Zimmerman",WN/Atlantic-UnitedMasters,,-,27,22,5,8,3,8,8,0,0.388,0.342,0.046,32,34,1,0,1,27.0,22.0,5.0,65,19,110,19,-,58,-,-,-,-,-
59,106,59,Yes,"ALL TIME LOW","The Weather","Bsmt Nse/Photo Fin/Virgin",,-,26,13,13,15,2,3,5,1,0.139,0.080,0.059,61,89,1,0,1,26.0,13.0,13.0,97,11,144,10,-,59,-,-,-,43,-
59,64,60,Yes,"CLASSE MOYENNE","Autour Du Feu f/King Melrose","Disques NOW",Yes,-,26,25,1,0,4,0,0,22,0.119,0.125,-0.006,65,68,3,0,3,8.7,8.3,0.3,52,26,150,4,-,60,270,1178,-,-,-
61,62,61,,"IAN KIDD",LOVEU,Indépendant,Yes,-,26,27,-1,0,3,6,3,14,0.026,0.019,0.007,133,130,2,0,2,13.0,13.5,-0.5,51,26,137,12,-,61,-,-,-,-,-
55,59,62,,"CHARLOTTE CARDIN","Tant Pis Pour Elle","Cult Nation",Yes,-,26,28,-2,8,5,5,2,6,0.177,0.162,0.015,52,56,1,0,1,26.0,28.0,-2.0,69,18,138,12,-,62,20,-,-,-,269
42,51,63,,"LINKIN PARK","Up From The Bottom",Warner,,-,26,35,-9,9,2,8,7,0,0.116,0.277,-0.161,68,38,2,0,2,13.0,17.5,-4.5,71,17,118,17,-,63,-,-,-,-,363
42,58,64,,"VINCENT VALLIERES","Je Marche Comme On Tombe","La maison fauve",Yes,-,25,28,-3,5,6,4,3,7,0.112,0.102,0.010,71,77,3,0,3,8.3,9.3,-1.0,63,20,131,13,-,64,76,-,-,-,-
65,160,65,Yes,"MEGHAN TRAINOR","Still Don't Care",Epic,,-,24,5,19,3,5,10,3,3,0.054,0.077,-0.023,103,91,9,7,9,2.4,0.5,1.9,61,21,113,18,53,65,114,-,-,-,-
66,101,66,Yes,"RYAN KENNEDY","Witness To Madness","UniForce Prod",Yes,-,24,15,9,0,5,3,3,13,0.032,0.039,-0.007,124,114,2,0,2,12.0,7.5,4.5,54,24,141,11,-,66,-,767,-,-,-
67,71,67,Yes,VALLEY,"Water The Flowers, Pray For...","Universal Music Canada",Yes,-,23,21,2,7,1,5,4,6,0.077,0.086,-0.009,89,86,1,0,1,23.0,21.0,2.0,75,16,145,10,-,67,-,-,-,8,350
67,70,68,Yes,"MUMFORD & SONS","Rubber Band Man w/Hozier",GOTR/Columbia/Glassnote,,-,23,22,1,12,2,3,5,1,0.136,0.119,0.017,62,71,1,0,1,23.0,22.0,1.0,98,11,146,10,-,68,-,-,32,4,262
32,63,69,,KORIASS,Printemps,"7ième Ciel",Yes,-,23,25,-2,0,3,5,2,13,0.102,0.153,-0.051,77,57,3,0,3,7.7,8.3,-0.7,56,23,147,10,-,69,-,-,-,-,805
57,57,70,,"LENDEMAIN DE VEILLE","La Game (Buddes)","Disques Far West",Yes,-,23,28,-5,0,4,4,3,12,0.032,0.032,0.000,125,118,2,0,2,11.5,14.0,-2.5,55,23,142,11,-,70,-,482,-,-,-
71,81,71,Yes,"LAURENCE ST-MARTIN","Seche Tes Pleurs","Prod. Véronique Labbé",Yes,-,22,19,3,0,2,4,1,15,0.216,0.153,0.063,46,58,2,0,2,11.0,9.5,1.5,59,22,149,7,-,71,317,247,-,-,-
1,-Rec-,-Rec-,,"LADY GAGA & BRUNO MARS","Die With A Smile",Interscope/ICLG,,-,679,682,-3,198,81,159,106,135,1.385,1.448,-0.063,R,R,25,0,25,26.1,26.2,-0.1,-Rec-,481,11,346,-,-,-,-,-,-,30
11,-Rec-,-Rec-,,"THE WEEKND","Cry For Me",XO/Republic,Yes,-,507,544,-37,131,75,117,74,110,0.971,1.020,-0.049,R,R,23,0,23,21.1,22.7,-1.5,-Rec-,376,18,266,-,-,-,-,-,-,48
2,-Rec-,-Rec-,,"SABRINA CARPENTER",Manchild,Island/Republic,,-,492,570,-78,117,91,86,89,109,1.235,1.344,-0.109,R,R,24,0,24,19.7,22.8,-3.1,-Rec-,375,19,266,4,-,8,-,-,-,12
