"Station Playlist",,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 11/09/2025 - 11/15/2025        TW: 11/16/2025 - 11/22/2025        Panel: Mediabase - All Canadian Stations        GRC: Show All        Show Top: 150        Station: CKPT-FM/Canada-Main AC/Peterborough, ON/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Rank",,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,"Market Info",,Impressions,,"Historical Data Since: 09/22/2007",,"Format Comparison",,,"6am to 7pm",,"W/O Ovn",
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,"CKPT-FM Share(%)","Market Spins TW","Reach/ Mill","Imp Rank","First Played","Hist Spins",Rank,Avg,CKPT,Rank,TW,Rank,TW
34,33,"THE WEEKND","Dancing In The Flames",Yes,XO/Republic,2024,11,11,0,0,3,2,3,3,38,29,0.019,23,09/28/24,812,N/A,5,+6,22,8,29,11
30,34,"BILLIE DU PAGE","Fake Friends",Yes,Independent,2024,10,12,-2,0,0,4,2,4,100,10,0.016,34,01/11/25,337,N/A,4,+6,34,6,33,10
33,35,"SABRINA CARPENTER",Espresso,,Island/Republic,2024,10,11,-1,1,4,1,2,2,42,24,0.016,35,05/25/24,1019,N/A,6,+4,26,7,35,9
37,36,"SABRINA CARPENTER",Taste,,Island/Republic,2024,10,10,0,3,1,1,3,2,43,23,0.013,41,09/28/24,360,N/A,3,+7,41,5,40,7
32,37,"ALESSIA CARA",Fire,Yes,"Universal Music Canada",2025,9,11,-2,0,0,4,2,3,100,9,0.016,36,03/22/25,377,294,2,+7,35,6,37,9
39,38,"BENSON BOONE","Beautiful Things",,"Night Street/Warner",2024,9,9,0,2,2,2,2,1,32,28,0.014,40,02/17/24,1308,N/A,4,+5,36,6,41,7
40,39,"PRESTON PABLO","Dance Alone",Yes,"Universal Music Canada",2023,9,9,0,0,2,2,2,3,35,26,0.015,38,02/28/24,1275,N/A,5,+4,37,6,38,9
42,40,"JAMIE FINE","you're like",Yes,"Universal Music Canada",2024,9,8,1,0,2,3,1,3,39,23,0.015,37,06/08/24,807,N/A,5,+4,38,6,36,9
38,41,"LU KALA","Hotter Now",Yes,LVK/Amigo,2023,8,10,-2,0,1,3,2,2,33,24,0.015,39,10/21/23,1532,N/A,5,+3,39,6,39,8
44,42,"BENSON BOONE","Slow It Down",,"Night Street/Warner",2024,8,7,1,4,0,2,0,2,100,8,0.006,59,05/18/24,844,N/A,1,+7,65,2,45,4
35,43,"THE WEEKND","Cry For Me",Yes,XO/Republic,2025,7,11,-4,0,1,2,2,2,30,23,0.012,43,02/22/25,410,N/A,8,-1,42,5,42,7
41,44,"JAMIE FINE","If Anything's Left",Yes,"Universal Music Canada",2023,7,8,-1,0,2,1,2,2,32,22,0.012,42,04/23/23,1731,"118 g",4,+3,43,5,43,7
46,45,"FOREST BLAKK","If You Love Her f/M. Trainor",Yes,Atlantic/EMG,2020,5,5,0,2,0,1,1,1,100,5,0.006,60,02/20/21,156,"2486 g",2,+3,66,2,66,3
50,46,"SCOTT HELMAN","Ripple Effect",Yes,"Warner Music Canada",2018,5,5,0,1,0,2,1,1,100,5,0.008,45,07/25/18,142,"3564 g",2,+3,45,3,49,4
75,47,REVE,"Contemporary Love",Yes,"Universal Music Canada",2023,5,4,1,1,1,1,1,1,100,5,0.007,49,08/05/23,1400,"122 g",4,+1,46,3,47,4
79,48,"TYLER SHAW",Remember,Yes,"Sony Music Canada",2020,5,4,1,1,0,1,1,2,100,5,0.006,61,08/28/20,552,"961 g",1,+4,67,2,50,4
95,49,BANNERS,"Someone To You",Yes,Frontside/Nettwerk,2020,5,3,2,1,1,1,1,1,100,5,0.007,47,09/27/20,1356,"493 g",3,+2,47,3,48,4
139,50,"EIFFEL 65","Blue (Da Ba Dee)",,Republic,1999,5,3,2,1,1,1,1,1,83,6,0.007,48,12/07/07,217,"1392 g",1,+4,48,3,46,4
234,51,"THE STRUMBELLAS","Hold Me",Yes,Glassnote,2023,5,3,2,1,1,2,0,1,100,5,0.007,50,10/14/23,1066,N/A,2,+3,49,3,51,4
288,52,"BARENAKED LADIES","Pinch Me",Yes,Reprise,2000,5,2,3,0,2,1,1,1,83,6,0.009,44,09/24/07,1115,"588 g",2,+3,44,4,44,5
45,53,"BANX & RANX","Headphones f/Reve",Yes,"31 East/UMC",2022,4,5,-1,1,0,2,0,1,44,9,0.005,75,04/01/22,2181,"422 g",4,0,68,2,73,3
48,54,"FELIX CARTAL","Mine f/Sophie Simmons",Yes,,2020,4,5,-1,0,0,1,1,2,57,7,0.006,66,07/24/20,2957,"106 g",4,0,69,2,55,4
49,55,CLASSIFIED,"Good News f/Breagh Isabel",Yes,"HalfLife/Universal Canada",2020,4,5,-1,1,0,1,1,1,100,4,0.005,76,05/06/25,131,"2994 g",2,+2,70,2,68,3
51,56,"SCOTT HELMAN","every time (drive by)",Yes,"Warner Music Canada",2023,4,5,-1,1,0,1,1,1,100,4,0.005,89,07/03/23,1173,"487 g",4,0,71,2,74,3
53,57,"ROSE & BRUNO MARS",APT,,Atlantic,2024,4,5,-1,0,1,1,1,1,27,15,0.007,53,12/28/24,505,N/A,7,-3,50,3,54,4
54,58,"JP SAXE","A Little Bit Yours",Yes,Arista,2020,4,5,-1,1,1,1,0,1,100,4,0.005,81,11/28/20,152,"3218 g",4,0,72,2,83,3
60,59,"DJ SAMMY & YANOU F/DO",Heaven,Yes,"Robbins Ent",2002,4,4,0,0,1,0,1,2,100,4,0.006,64,09/22/07,3884,"339 g",2,+2,73,2,61,4
61,60,"BILLIE EILISH","BIRDS OF A FEATHER",,Darkroom/Interscope/ICLG,2024,4,4,0,0,1,0,2,1,20,20,0.007,51,06/29/24,697,N/A,8,-4,51,3,58,4
72,61,"PRESTON PABLO, BANX & RANX","Flowers Need Rain",Yes,"Universal Music Canada",2022,4,4,0,1,1,0,1,1,18,22,0.005,86,06/11/22,1503,"8 g",4,0,74,2,84,3
73,62,"MAX PARKER","Good Time",Yes,RPMpromotion,2021,4,4,0,1,1,0,1,1,100,4,0.005,84,06/01/21,319,"1945 g",2,+2,75,2,71,3
74,63,"MACKENZIE PORTER","These Days",Yes,"Big Loud",2019,4,4,0,0,0,1,2,1,50,8,0.008,46,06/01/20,3359,"149 g",4,0,52,3,65,4
76,64,REVE,Whitney,Yes,"Universal Music Canada",2022,4,4,0,1,0,1,1,1,50,8,0.005,87,11/12/22,1896,"97 g",3,+1,76,2,82,3
78,65,"JP SAXE","I Don't Miss You",Yes,Arista,2023,4,4,0,1,0,1,1,1,100,4,0.005,82,05/18/23,777,"1419 g",2,+2,77,2,78,3
80,66,"LENNON STELLA","Kissing Other People",Yes,RECORDS/Columbia,2019,4,4,0,1,0,2,0,1,100,4,0.005,83,02/25/23,125,"1464 g",2,+2,78,2,81,3
81,67,"TEDDY SWIMS","Lose Control",,Warner,2023,4,4,0,1,1,0,0,2,25,16,0.003,231,09/16/23,1325,N/A,4,0,228,1,86,3
82,68,"THE WEEKND","Save Your Tears",Yes,XO/Republic,2020,4,4,0,0,1,1,1,1,57,7,0.007,57,11/27/20,2648,"28 g",2,+2,53,3,53,4
154,69,"SHAWN HOOK","Take Me Home",Yes,Ultra,2020,4,3,1,1,0,0,2,1,100,4,0.006,68,02/04/21,588,"2417 g",4,0,79,2,79,3
170,70,"AVRIL LAVIGNE","My Happy Ending",Yes,Arista/RMG,2004,4,3,1,0,0,1,1,2,67,6,0.006,62,09/23/07,2156,"373 g",2,+2,80,2,52,4
185,71,"MATCHBOX TWENTY",Unwell,,Atlantic,2002,4,3,1,2,1,1,0,0,25,16,0.004,150,09/22/07,663,"232 g",2,+2,81,2,121,2
217,72,"SERENA RYDER","Better Now",Yes,"ArtHaus/Warner Canada",2021,4,3,1,0,1,1,1,1,100,4,0.007,54,08/25/22,887,"431 g",4,0,54,3,60,4
219,73,SHAKIRA,"Whenever, Wherever/Suerte",,Epic,2001,4,3,1,1,0,2,0,1,100,4,0.005,90,09/23/07,2422,"47 g",2,+2,82,2,77,3
232,74,"SUGAR JONES","Days Like That",Yes,---,200,4,3,1,0,0,1,1,2,67,6,0.006,69,11/28/10,134,"2671 g",1,+3,83,2,63,4
235,75,"THE WEEKND","In Your Eyes f/Kenny G",Yes,XO/Republic,2020,4,3,1,0,2,0,1,1,100,4,0.007,56,04/06/20,2574,"250 g",2,+2,55,3,59,4
237,76,"JUSTIN TIMBERLAKE","Summer Love",,Jive/Zomba,2006,4,3,1,2,1,0,1,0,100,4,0.004,149,09/22/07,415,"1187 g",1,+3,84,2,125,2
243,77,U2,"Sweetest Thing",,Polydor/PLG,1998,4,3,1,1,0,1,1,1,100,4,0.005,92,12/01/13,70,"2232 g",1,+3,85,2,75,3
256,78,"ELIJAH WOODS",Lights,Yes,Independent,2021,4,3,1,0,0,1,1,2,100,4,0.006,65,01/21/21,2447,"55 g",5,-1,86,2,56,4
257,79,"ELIJAH WOODS X JAMIE FINE","Want You Back",Yes,"Big Machine",2020,4,3,1,1,1,0,1,1,100,4,0.005,78,03/27/20,370,"2958 g",2,+2,87,2,85,3
347,80,"COUNTING CROWS","Mr. Jones",,DGC,1993,4,2,2,2,0,0,1,1,33,12,0.003,229,10/06/07,873,"626 g",1,+3,229,1,122,2
351,81,CURE,"Friday I'm In Love",,Elektra,1992,4,2,2,1,1,1,0,1,27,15,0.005,77,09/22/07,150,"1015 g",1,+3,88,2,72,3
362,82,"SHAWN DESMAN",Maniac,Yes,DMD/Wax,2022,4,2,2,0,1,1,1,1,100,4,0.007,55,12/27/22,420,"1273 g",2,+2,56,3,57,4
373,83,"DURAN DURAN","Hungry Like The Wolf",,Harvest,1982,4,2,2,2,1,0,0,1,57,7,0.003,230,10/16/08,79,"569 g",1,+3,230,1,120,2
381,84,EVE,"Let Me Blow Ya Mind",,Interscope,2001,4,2,2,1,0,1,1,1,100,4,0.005,79,09/22/07,718,"2432 g",1,+3,89,2,87,3
385,85,"FINGER ELEVEN","One Thing",Yes,Wind-up,2003,4,2,2,0,0,2,1,1,40,10,0.007,52,09/23/07,1179,"878 g",2,+2,57,3,64,4
411,86,"GREEN DAY","Boulevard Of Broken Dreams",,Reprise,2004,4,2,2,2,0,1,1,0,27,15,0.005,80,09/24/07,826,"711 g",2,+2,90,2,124,2
413,87,"DAVID GUETTA & BEBE REXHA","I'm Good (Blue)",,"Parlophone UK/Warner",2022,4,2,2,0,1,0,1,2,29,14,0.006,63,10/15/22,976,"147 g",2,+2,91,2,62,4
496,88,"RIA MAE","The Old Me",Yes,"Warner Music Canada",2022,4,2,2,1,0,1,1,1,100,4,0.005,88,04/01/22,1102,"804 g",3,+1,92,2,80,3
688,89,TIMBALAND/ONEREPUBLIC,Apologize,,Mosley/BG/Interscope,2007,4,2,2,2,0,1,1,0,80,5,0.005,91,09/24/07,2584,"618 g",1,+3,93,2,123,2
705,90,"VIRGINIA TO VEGAS",betterman,Yes,DMD/Wax,2020,4,2,2,1,2,0,1,0,100,4,0.006,70,02/21/20,2561,"37 g",4,0,58,3,70,3
747,91,"MICHAEL BUBLE","I'll Never Not Love You",Yes,Reprise/Warner,2022,4,1,3,1,2,0,0,1,100,4,0.005,85,08/25/22,711,"1188 g",3,+1,94,2,76,3
887,92,"JASON MRAZ","I'm Yours",,Atlantic/RRP,2008,4,1,3,1,1,2,0,0,100,4,0.006,67,05/10/08,1382,"170 g",2,+2,59,3,69,3
931,93,SALT-N-PEPA,"Push It",,"Next Plateau",1987,4,1,3,1,0,1,0,2,100,4,0.004,151,01/19/08,191,"2951 g",1,+3,231,1,67,3
47,94,"MICHAEL BUBLE",Higher,Yes,Reprise/Warner,2022,3,5,-2,1,0,0,1,1,100,3,0.003,283,08/25/22,902,"1683 g",2,+1,232,1,151,2
52,95,"MAJID JORDAN","Waves Of Blue",Yes,"OVO Sound/Warner",2021,3,5,-2,1,0,0,1,1,33,9,0.003,279,07/02/21,2151,"38 g",4,-1,233,1,177,2
57,96,"COUNTING CROWS","Big Yellow Taxi f/V. Carlton",Yes,Geffen/Interscope,2002,3,4,-1,0,0,2,0,1,75,4,0.005,101,09/23/07,1331,"87 g",4,-1,95,2,89,3
58,97,"DAFT PUNK","One More Time",,Virgin,2000,3,4,-1,1,1,1,0,0,75,4,0.004,157,09/24/07,1538,"749 g",1,+2,96,2,214,2
64,98,"DELANEY JANE","Just As Much f/VirginiaToVegas",Yes,DMD/AWAL,2021,3,4,-1,0,1,1,0,1,50,6,0.005,104,02/11/21,2892,"218 g",4,-1,97,2,107,3
66,99,"DERMOT KENNEDY","Kiss Me",,,2022,3,4,-1,1,1,1,0,0,100,3,0.004,158,10/08/22,648,"5127 g",1,+2,98,2,188,2
67,100,MAGIC!,"Good Feeling About You",Yes,MAGIC!,2024,3,4,-1,1,1,0,0,1,100,3,0.003,277,08/10/24,340,190,2,+1,234,1,198,2
69,101,"SUZIE MCNEIL","Hung Up",Yes,Curve,2006,3,4,-1,0,1,0,1,1,100,3,0.005,125,09/22/07,1660,"6271 g",3,0,99,2,94,3
83,102,"THE WEEKND","Take My Breath",Yes,XO/Republic,2021,3,4,-1,1,2,0,0,0,33,9,0.004,177,08/12/21,1710,"60 g",2,+1,100,2,229,2
85,103,"5 SECONDS OF SUMMER",Youngblood,,Capitol,2018,3,3,0,1,1,0,0,1,100,3,0.003,233,06/23/18,2724,"725 g",2,+1,235,1,148,2
90,104,"CHRISTINA AGUILERA","Ain't No Other Man",,"Sony BMG Canada",2006,3,3,0,1,0,1,0,1,100,3,0.003,248,11/17/07,171,"2485 g",1,+2,236,1,131,2
101,105,BEYONCE,"Crazy In Love",,Columbia,2003,3,3,0,1,0,1,1,0,27,11,0.005,97,09/22/07,1867,"235 g",2,+1,101,2,181,2
104,106,"BLACK EYED PEAS","Let's Get It Started",,A&M/Interscope,2004,3,3,0,1,1,0,0,1,75,4,0.003,240,09/24/07,1350,"157 g",3,0,237,1,228,2
108,107,BTS,Dynamite,,Columbia,2020,3,3,0,1,0,0,1,1,100,3,0.003,245,08/24/20,1000,"1175 g",3,0,238,1,146,2
111,108,"KATE BUSH","Running Up That Hill (A Deal..",,EMI/Parlophone/Warner,1985,3,3,0,1,1,0,1,0,60,5,0.004,166,07/17/16,68,"1494 g",1,+2,102,2,224,2
112,109,"CAMILA CABELLO","Don't Go Yet",,Syco/Epic,2021,3,3,0,1,0,1,0,1,100,3,0.003,247,07/23/21,449,"2009 g",1,+2,239,1,185,2
113,110,"CAMILA CABELLO","Bam Bam f/Ed Sheeran",,Syco/Epic,2022,3,3,0,1,0,1,1,0,100,3,0.005,100,03/04/22,1309,"657 g",1,+2,103,2,143,2
115,111,"LEWIS CAPALDI","Forget Me",,Capitol,2022,3,3,0,1,0,1,0,1,100,3,0.003,275,09/24/22,1314,"299 g",2,+1,240,1,203,2
119,112,"KELLY CLARKSON","Miss Independent",,RCA/RMG,2003,3,3,0,2,0,0,1,0,50,6,0.003,272,09/23/07,1659,"274 g",3,0,241,1,426,1
123,113,"COLDPLAY X BTS","My Universe",,Parlophone/Atlantic,2021,3,3,0,1,0,1,0,1,75,4,0.003,250,10/09/21,299,"1787 g",1,+2,242,1,179,2
124,114,"DEBORAH COX","Beautiful U R",Yes,Deco,2008,3,3,0,0,1,0,1,1,100,3,0.005,103,09/08/08,4095,"337 g",3,0,104,2,90,3
125,115,"SHERYL CROW","Soak Up The Sun",,A&M/Interscope,2002,3,3,0,2,0,1,0,0,60,5,0.002,480,09/22/07,237,"726 g",1,+2,243,1,428,1
126,116,"TAIO CRUZ",Dynamite,,Mercury/IDJMG,2010,3,3,0,2,0,1,0,0,33,9,0.002,481,07/16/10,3482,"54 g",2,+1,244,1,437,1
