WEEK 47 CIWV 98.3FM - WAVE PLAYLIST DEC 01 -2025 - Charted - Luminate Data On Demand Streaming  / Mediabase Airplay /  Billboard Smooth Jazz Top 30 SORT: #SPINS TW       ,,,,,,,,,,,,,,,,,,,
P,EUGE GROOVE,LET'S HOLD HANDS,3,S,,59,3,5,4,1,SJ,361,35,,,,,,
P,U-NAM,POUR QUE TU MAIMES ENCORE,3,G,,11,1,N/C,N/C,N/C,N/C, , ,,,,,,
,,,,,,,,,,,,,,,,,,,
J,COREY WONG/STEPHEN DAY,TONGUE TIED,2,V,,"4,770",621,N/C,N/C,N/C,N/C,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PC3,THE RAHN BROS.,PACIFIC BREEZE,3,S ,,17,1,47,8,6,SJ,56,56,,,,,,
PC3,HOLLY COLE,COMIN' HOME BABY,3,V,,97,6,21,3,7,SJ,137,134,,,,,,
PC3,ISAAC EDWARDS,STREET JAM,3, ,,0,0,N/C,N/C,0,SJ,N/C,113,,,,,,
PC3,ALEXANDER BOYTON JR/FT.DAVID MANN,LAUGHTER,3,,,N/C,N/C,N/C,N/C,N/C,N/C,,,,,,,,
PC3,ROB TARDIK FT. WALLE LARSSON ,BRING ME JOY,3,G,,2,0,N/C,N/C,N/C,N/C,,,,,,,,
PC3,DEMO CATES ,YOU'RE SO EARTHY,3,V,,N/C,N/C,N/C,N/C,N/C,N/C,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PC2,EDDIE BULLEN/A.NERO/D. HASTINGS,UNSTOPPABLE SHINE,2,V,,N/C,N/C,N/C,N/C,N/C,N/C,,,,,,,,
PC2,KARMA SOUNDS,REMEMBER WHO YOU ARE,2,V,,N/C,N/C,N/C,N/C,N/C,N/C,,,,,,,,
PC2,ROBYN BLACK,DON'T SAY IT IN WORDS,2,V,,1,0,N/C,N/C,N/C,N/C,,,,,,,,
PC2,KEN TOBIAS,DOWN IN HOLLYWOOD,2,V ,,6,0,N/C,N/C,N/C,N/C,,,,,,,,
, ,CAC* = CIWV-FM exclusive,,,,,See BBSJ Top 30 >,,https://www.billboard.com/charts/jazz-songs/,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
