Station Playlist,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 04/05/2026 - 04/11/2026        TW: 04/12/2026 - 04/18/2026        Panel: Mediabase - Published Canada Panel        GRC: Currents Only        Show Top: 500        Station: CIWV-FM/Canada-Main AC/Vancouver, BC/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Rank,,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,Market Info,,Impressions,,Historical Data Since: 11/23/2023,,Format Comparison,,,6am to 7pm,,W/O Ovn,
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,CIWV-FM Share(%),Market Spins TW,Reach/ Mill,Imp Rank,First Played,Hist Spins,Rank,Avg,CIWV,Rank,TW,Rank,TW
40,33,LOU POMANTI,2001: A Space Odyssey,Yes,Vesuvius,2022,3,3,0,1,0,1,1,0,100,3,0,44,04/27/24,225,-Rec-,0,3,31,2,49,2
43,34,JULIAN TAYLOR,Dedication,Yes,Howling Turtle,2025,3,3,0,0,0,2,1,0,100,3,0,40,2011-12-25,120,-Rec-,0,3,22,3,27,3
62,35,FOUR80EAST,Gonna Be Alright,,Boomtang,2024,3,2,1,1,0,1,0,1,100,3,0,34,2007-02-24,260,-Rec-,0,3,54,1,32,2
63,36,THE FREE LABEL,Dancing On Your Own,Yes,Believe,2025,3,2,1,1,0,1,0,1,100,3,0,51,2006-05-25,158,-Rec-,0,3,55,1,36,2
66,37,GROOVE55,Sunset Drive,Yes,---,2023,3,2,1,0,1,0,1,1,100,3,0,38,04/23/24,216,-Rec-,0,3,32,2,28,3
69,38,GABRIEL MARK HASSELBACH,Chill@Will f/Bob Baldwin,Yes,Mesa/Bluemoon,2021,3,2,1,1,0,0,1,1,100,3,0,35,11/24/23,257,-Rec-,0,3,56,1,40,2
73,39,THIRSTY HOWELL,The Sunshine Coast,Yes,Independent,2023,3,2,1,1,0,1,0,1,100,3,0,52,11/23/23,305,-Rec-,0,3,57,1,51,2
78,40,MOLLY JOHNSON,All I See f/CUBE,Yes,Universal Music Canada,2025,3,2,1,1,0,2,0,0,100,3,0,46,09/17/25,129,-Rec-,0,3,33,2,44,2
82,41,DAVE KOZ,The Closer We Get,Yes,Just Koz Ent,2021,3,2,1,1,0,1,0,1,100,3,0,30,04/24/24,222,-Rec-,0,3,58,1,47,2
100,42,LES SABLER,Patches' Groove,,New Vista,2024,3,2,1,1,1,0,0,1,100,3,0,43,10/30/24,273,-Rec-,0,3,59,1,42,2
101,43,SAVED BY VIOLET,One On One,Yes,---,2022,3,2,1,1,1,1,0,0,100,3,0,48,04/23/24,242,-Rec-,0,3,34,2,30,2
103,44,RANDY SCOTT,Twilight,,Trippin 'N' Rhythm,2023,3,2,1,1,0,1,1,0,100,3,0,47,01/13/24,315,-Rec-,0,3,35,2,37,2
113,45,TYLA,Water,,FAX/Epic,2023,3,2,1,1,1,0,1,0,100,3,0,53,01/30/24,397,238,0,3,36,2,52,2
119,46,YOUNG GUN SILVER FOX,Stevie & Sly,,Blue Elan,2025,3,2,1,1,0,1,1,0,100,3,0,54,04/30/25,344,-Rec-,0,3,37,2,38,2
153,47,KIMBERLY BREWER,Don't Make Me Wait Too Long,,Kimberlily,2023,3,1,2,1,0,1,0,1,100,3,0,42,04/23/24,105,-Rec-,0,3,60,1,50,2
169,48,ERIC CLAPTON,One Woman,,Surfdog/The Orchard,2024,3,1,2,1,0,2,0,0,100,3,0,33,10/22/24,380,-Rec-,0,3,38,2,53,2
175,49,JESSE COOK,Libre,Yes,Coach House,2021,3,1,2,1,0,1,0,1,100,3,0,39,04/24/24,178,-Rec-,0,3,61,1,33,2
182,50,MARK ETHEREDGE,Love Planet,,---,2022,3,1,2,1,0,1,0,1,100,3,0,45,04/28/24,163,-Rec-,0,3,62,1,39,2
195,51,GABRIEL MARK HASSELBACH,Kissed By The Sun Again,Yes,Wind Tunnel,2025,3,1,2,1,0,1,0,1,100,3,0,36,2010-01-25,134,-Rec-,0,3,63,1,35,2
219,52,KARMA SOUNDS,Let's Stay Home Tonight,Yes,---,2023,3,1,2,1,0,2,0,0,100,3,0,41,04/21/24,209,-Rec-,0,3,39,2,41,2
220,53,DAVE KOZ,Wrapped Up In Your Smile,Yes,Just Koz Ent,2023,3,1,2,0,1,1,1,0,100,3,0,31,04/29/24,166,-Rec-,0,3,23,3,26,3
,54,BABYFACE,As A Matter Of Fact,,ECAF/P,2023,3,0,3,2,0,1,0,0,100,3,0,28,04/23/24,99,-Rec-,0,3,64,1,94,1
23,55,MARK RONSON X RAYE,Suzanne,,RCA,2025,2,5,-3,0,1,0,1,0,100,2,0,98,07/15/25,327,-Rec-,0,2,40,2,87,2
28,56,GREG ADAMS/EAST BAY SOUL,Dreams Come True,,Ripa,2023,2,3,-1,1,0,0,0,1,100,2,0,78,04/20/24,171,-Rec-,0,2,213,0,98,1
29,57,GERALD ALBRIGHT,Living My Best Life,,Bright Music,2025,2,3,-1,1,1,0,0,0,100,2,0,77,08/26/25,189,-Rec-,0,2,65,1,101,1
37,58,JOHN MAYER,Last Train Home,,Columbia,2021,2,3,-1,0,0,1,0,1,100,2,0,84,11/24/23,263,-Rec-,0,2,66,1,88,2
47,59,SARA BAREILLES,Salt Then Sour Then Sweet,,Epic,2025,2,2,0,0,1,1,0,0,100,2,0,114,2012-03-25,279,-Rec-,0,2,41,2,62,2
48,60,MICHAEL BROENING,Let It Breathe,,Trippin 'N' Rhythm,2022,2,2,0,1,0,0,1,0,100,2,0,100,04/25/24,131,-Rec-,0,2,67,1,99,1
55,61,DIAMOND CAFE,When You Can't Resist,Yes,Warner Music Canada,2024,2,2,0,1,0,1,0,0,100,2,0,71,02/27/24,339,-Rec-,0,2,68,1,118,1
56,62,NEIL DONELL,Neither One Of Us,Yes,Independent,200,2,2,0,0,0,1,1,0,100,2,0,104,2005-07-24,146,-Rec-,0,2,42,2,72,2
57,63,DOOBIE BROTHERS,Learn To Let Go,,Rhino,2025,2,2,0,1,0,0,1,0,100,2,0,72,2004-01-25,348,-Rec-,0,2,69,1,104,1
61,64,FOUR80EAST,This Time Around,Yes,Boomtang,2023,2,2,0,0,1,0,1,0,100,2,0,75,11/23/23,304,-Rec-,0,2,43,2,85,2
68,65,GABRIEL MARK HASSELBACH,Litmus Test f/Daniel Seguin,Yes,Wind Tunnel,2021,2,2,0,0,0,0,1,1,100,2,0,76,04/20/24,185,-Rec-,0,2,70,1,54,2
70,66,ADAM HAWLEY,Let's Get Down Tonight...,,MBF Ent,2022,2,2,0,0,1,0,0,1,100,2,0,56,04/23/24,123,-Rec-,0,2,71,1,69,2
71,67,WARREN HILL,Simple,Yes,Songbird,2023,2,2,0,0,0,0,1,1,100,2,0,123,04/23/24,189,-Rec-,0,2,72,1,60,2
72,68,"HONEYBEAR, THE BAND",Walk Away,Yes,---,2024,2,2,0,1,0,1,0,0,100,2,0,79,05/23/25,103,-Rec-,0,2,73,1,115,1
77,69,ELTON JOHN,After All f/Charlie Puth,,Interscope,2021,2,2,0,1,0,1,0,0,100,2,0,74,11/24/23,250,-Rec-,0,2,74,1,96,1
87,70,LAUFEY,From The Start,,Laufey/AWAL,2023,2,2,0,2,0,0,0,0,100,2,0,89,07/22/25,67,-Rec-,0,2,214,0,267,0
90,71,CAT LEVAN,My Secret,,Wide Sky,2025,2,2,0,0,0,0,1,1,100,2,0,63,03/19/25,174,-Rec-,0,2,75,1,63,2
96,72,DARREN RAHN,Light Of The World,,Side 2,2025,2,2,0,0,0,1,1,0,100,2,0,67,07/15/25,200,-Rec-,0,2,44,2,73,2
97,73,RON ISLEY/ISLEY BROS F/BEYONCE,Make Me Say It Again Girl('22),,R I Top Ten,2022,2,2,0,0,0,1,1,0,100,2,0,112,2005-01-24,199,-Rec-,0,2,45,2,93,2
105,74,JC SOL,Best Of Things,Yes,---,2023,2,2,0,0,1,0,1,0,100,2,0,82,11/25/23,175,-Rec-,0,2,46,2,74,2
112,75,ROB TARDIK,Walk It Like You Talk It,Yes,Guitardik,2021,2,2,0,0,0,0,1,1,100,2,0,110,11/24/23,242,-Rec-,0,2,76,1,82,2
132,76,LISA ADDEO,Perfect Timing,,Little Black Dress,2022,2,1,1,1,0,0,1,0,100,2,0,96,04/20/24,114,-Rec-,0,2,77,1,103,1
136,77,ALEX CUBA,I Think of You,Yes,Caracol,2021,2,1,1,1,0,1,0,0,100,2,0,58,04/30/24,142,-Rec-,0,2,78,1,123,1
141,78,RANDY BACHMAN,In The Shade,Yes,---,2023,2,1,1,0,0,0,1,1,100,2,0,108,04/24/24,229,-Rec-,0,2,79,1,70,2
142,79,LAILA BIALI,Rocky Mountain Lullaby,Yes,Empress Music,2024,2,1,1,1,0,0,0,1,100,2,0,88,12/16/25,17,-Rec-,0,2,215,0,109,1
143,80,ROBYN BLACK,I'll Be Around,Yes,LP Music,2024,2,1,1,1,0,1,0,0,100,2,0,111,01/16/25,163,-Rec-,0,2,80,1,110,1
170,81,COLDPLAY,feelslikeimfallinginlove,,Parlophone/Atlantic,2024,2,1,1,1,1,0,0,0,100,2,0,65,07/24/24,440,178,6,-4,81,1,102,1
174,82,NICK COLIONNE,What You Do To Me,,Trippin 'N' Rhythm,2022,2,1,1,1,0,0,0,1,100,2,0,105,04/25/24,147,-Rec-,0,2,216,0,124,1
183,83,SHAUNE ANN FEUZ,The World Turns f/Eddie Bullen,Yes,---,2022,2,1,1,0,0,1,1,0,100,2,0,115,04/25/24,154,-Rec-,0,2,47,2,86,2
196,84,ADAM HAWLEY,"Right On, Right On f/J. Vaughn",,MBF Ent,2023,2,1,1,1,0,1,0,0,100,2,0,57,04/29/24,127,-Rec-,0,2,82,1,116,1
208,85,BILLY JOEL,Turn The Lights Back On,,Columbia,2024,2,1,1,1,0,1,0,0,100,2,0,59,02/20/24,293,-Rec-,0,2,83,1,97,1
212,86,MARC JORDAN,Tell Me Where It Hurts,Yes,Cafe/Linus Ent.,2023,2,1,1,0,1,0,1,0,100,2,0,97,04/27/24,154,-Rec-,0,2,48,2,66,2
214,87,JACKIEM JOYNER,Missing You,,Joyner,2023,2,1,1,0,0,1,0,1,100,2,0,81,04/23/24,88,-Rec-,0,2,84,1,79,2
215,88,MICHAEL KAESHAMMER,Turn It Up,Yes,---,2024,2,1,1,0,0,1,0,1,100,2,0,101,04/27/24,119,-Rec-,0,2,85,1,61,2
218,89,KARMA SOUNDS,Waitin' 4,Yes,---,2024,2,1,1,0,0,0,1,1,100,2,0,86,04/20/24,242,-Rec-,0,2,86,1,55,2
222,90,DAVE KOZ AND CORY WONG,Family Reunion,Yes,Just Koz Ent,2021,2,1,1,1,0,0,1,0,100,2,0,70,04/20/24,156,-Rec-,0,2,87,1,108,1
226,91,LE SONIC,Take It Or Leave It,,Generic/The Orchard,2024,2,1,1,1,0,0,0,1,100,2,0,90,03/26/24,372,-Rec-,0,2,217,0,119,1
236,92,CAROL MEDINA,Rules,,---,2024,2,1,1,0,0,1,1,0,100,2,0,62,2009-10-24,187,-Rec-,0,2,49,2,65,2
239,93,MONKEY HOUSE,We Will Meet Again,Yes,Alma,2022,2,1,1,0,1,0,0,1,100,2,0,103,04/27/24,113,-Rec-,0,2,88,1,77,2
