"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 04/18/2026        Panel: Mediabase - Published Canada Panel        Format: Mainstream AC        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
16,18,22,,"MYLES SMITH & NIALL HORAN","Drive Safe",RCA,,9,211,223,-12,70,28,58,35,20,0.813,0.821,-0.008,19,17,11,0,11,19.2,20.3,-1.1,23,141,17,121,-,32,22,-,-,322,238
23,27,23,Yes,"JENNIFER LOPEZ & DAVID GUETTA","Save Me Tonight",Warner,,4,202,168,34,92,14,50,46,0,0.948,0.727,0.221,15,21,12,0,12,16.8,14.0,2.8,32,110,21,110,263,363,23,-,-,-,402
20,21,24,,"JF PAUZE","Puisqu'Il Faut","La Tribu",Yes,11,194,202,-8,49,34,45,18,48,0.739,0.786,-0.047,20,18,6,0,6,32.3,33.7,-1.3,22,145,25,97,-,37,24,-,-,-,273
21,25,25,,"COEUR DE PIRATE",Melancolie,"Bravo Musique",Yes,10,178,181,-3,47,18,30,35,48,0.685,0.601,0.084,24,26,12,0,12,14.8,15.1,-0.3,24,131,29,83,-,63,25,-,-,-,387
26,28,26,Yes,"SCOOTER GAS",Ricardo,LABE,Yes,3,177,158,19,47,34,36,12,48,0.681,0.619,0.062,25,25,6,0,6,29.5,26.3,3.2,26,130,30,82,-,103,26,-,-,-,435
27,-,27,Yes,"CELINE DION",Dansons,"Sony Music Canada",,1,176,0,176,45,44,39,18,30,0.717,0.000,0.717,21,225,12,12,12,14.7,0.0,14.7,25,131,24,101,-,-,27,-,-,-,480
28,30,28,Yes,"PRESTON PABLO","Cause I Do","Universal Music Canada",Yes,2,176,151,25,47,21,35,31,42,0.283,0.227,0.056,35,37,13,1,13,13.5,11.6,1.9,27,129,27,87,18,14,28,-,-,-,38
24,26,29,,LOUD,"Signe f/Statzz","Joy Ride",Yes,8,171,174,-3,57,25,24,23,42,0.577,0.709,-0.132,26,22,6,0,6,28.5,29.0,-0.5,31,114,33,72,-,57,29,-,-,-,398
29,29,30,Yes,"MATT LANG","She Stole My Truck","Coady./Matt Lang",Yes,7,156,156,0,66,18,48,24,0,0.704,0.775,-0.071,23,19,6,0,6,26.0,26.0,0.0,37,90,26,90,-,54,30,62,-,-,283
11,33,31,Yes,"MAX MCNOWN","Better Me For You",Columbia,,18,153,127,26,71,17,37,20,8,0.448,0.430,0.018,27,27,15,1,15,9.6,7.9,1.6,40,82,32,74,-,22,31,-,-,-,31
15,24,32,,SOMBR,"Back To Friends",Warner,,14,149,183,-34,34,17,33,30,35,0.275,0.317,-0.042,36,32,13,0,13,8.8,10.8,-2.0,30,115,31,80,-,-,32,-,44,-,29
32,32,33,Yes,"HARRY STYLES","American Girls",Columbia,,-,144,133,11,29,24,27,36,28,0.188,0.186,0.002,45,41,12,0,12,8.5,7.8,0.6,29,115,28,87,14,27,33,-,-,-,60
27,31,34,,SALEBARBES,"Ma Maison C'Est Toi f/OSM","Productions Grand V.",Yes,1,138,150,-12,36,21,23,4,54,0.343,0.338,0.005,30,31,6,0,6,23.0,25.0,-2.0,33,102,45,48,-,-,34,-,-,-,619
35,41,35,Yes,SIIBII,"Don't Wake Me Up",Ishkode/UMC,Yes,-,127,87,40,29,22,24,18,34,0.199,0.126,0.073,40,49,5,0,5,25.4,17.4,8.0,34,98,36,64,-,49,35,-,-,191,463
35,35,36,Yes,"DARREN VAUDREUIL","Mauvais Garcon",Indépendant,Yes,-,126,121,5,0,18,0,0,108,0.254,0.254,0.000,38,36,12,0,12,10.5,10.1,0.4,28,126,64,18,-,206,36,-,-,-,674
37,45,37,Yes,"GABRIEL FREDETTE","Le Bon Choix","Maison Rose",Yes,-,125,82,43,30,23,18,12,42,0.438,0.359,0.079,28,29,6,0,6,20.8,13.7,7.2,35,95,42,53,-,86,37,200,-,-,572
36,36,38,,"NOAH KAHAN","The Great Divide",Mercury/Republic,,-,112,113,-1,20,24,17,26,25,0.195,0.208,-0.013,42,39,14,1,14,8.0,8.1,-0.1,36,92,35,67,40,16,38,-,33,1,54
37,37,39,Yes,"TATE MCRAE","TIT FOR TAT","Sony Music Canada",,-,110,110,0,26,14,23,12,35,0.090,0.102,-0.012,62,54,13,0,13,8.5,8.5,0.0,39,84,43,49,-,20,39,-,-,-,111
40,66,40,Yes,"TEDDY SWIMS","Mr. Know It All",Warner,,-,100,34,66,49,14,15,14,8,0.335,0.160,0.175,31,43,9,2,9,11.1,3.8,7.3,58,51,46,43,261,42,40,-,-,-,536
41,59,41,Yes,"TAYLOR SWIFT","Elizabeth Taylor",Republic,,-,99,44,55,21,12,25,17,24,0.131,0.087,0.044,48,58,18,5,18,5.5,2.4,3.1,44,78,40,54,19,17,41,-,-,-,58
41,42,42,Yes,KEHLANI,Folded,TSNMI/Atlantic,,-,96,87,9,17,13,20,25,21,0.110,0.079,0.031,55,63,12,0,12,8.0,7.3,0.8,41,79,38,58,26,95,42,-,-,-,136
39,39,43,Yes,"JUSTIN BIEBER",YUKON,"Def Jam/Republic",,-,96,89,7,18,17,22,20,19,0.114,0.111,0.003,54,52,17,5,17,5.6,5.2,0.4,43,78,37,59,6,33,43,-,-,-,45
38,38,44,,"TIA WOOD","Sage My Soul","Sony Music Canada",Yes,-,93,98,-5,8,27,12,29,17,0.358,0.373,-0.015,29,28,8,0,8,11.6,12.3,-0.6,38,85,34,68,-,31,44,-,-,-,436
45,46,45,Yes,"HILARY DUFF",Roommates,Atlantic,,-,87,82,5,8,16,18,20,25,0.093,0.075,0.018,58,67,13,0,13,6.7,6.3,0.4,42,79,41,54,45,26,45,-,-,-,284
43,43,46,Yes,"ADAM RODWAY",RUNAROUND,Independent,Yes,-,87,85,2,23,9,19,13,23,0.063,0.053,0.010,79,76,5,0,5,17.4,17.0,0.4,46,64,47,41,15,58,46,-,-,-,73
