"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 04/18/2026        Panel: Mediabase - Published Canada Panel        Format: Mainstream AC        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
85,85,114,,NAOMI,"Pleurer Sur Le Dancefloor","Bravo Musique",Yes,-,14,20,-6,0,1,0,0,13,0.003,0.005,-0.002,240,180,4,0,4,3.5,5.0,-1.5,109,14,181,1,-,-,114,-,-,-,-
70,99,115,,"CLAUDE BEGIN","Dans La Foule",Coyote,Yes,-,13,18,-5,0,0,0,0,13,0.019,0.028,-0.009,148,107,6,0,6,2.2,3.0,-0.8,113,13,219,0,-,88,115,-,-,-,-
28,-,116,Yes,CORNEILLE,"Notre Annee (2024) f/LN",Musicor,Yes,1,12,0,12,0,6,0,0,6,0.043,0.000,0.043,104,217,6,6,6,2.0,0.0,2.0,119,12,101,6,-,-,116,-,-,-,-
117,-,117,Yes,AMIR,"A l'imparfaite","Warner Music Canada",,-,12,0,12,0,0,0,0,12,0.019,0.000,0.019,147,208,6,6,6,2.0,0.0,2.0,124,12,220,0,-,-,117,-,-,-,-
114,-,118,Yes,"ANNIE VILLENEUVE","Etre Moi","Inspire Musique",Yes,-,12,0,12,0,0,0,0,12,0.016,0.000,0.016,156,271,6,6,6,2.0,0.0,2.0,121,12,221,0,-,-,118,-,-,-,-
26,261,119,Yes,"TEDDY SWIMS",Guilty,Warner,,4,12,2,10,12,0,0,0,0,0.009,0.001,0.008,191,205,6,4,6,2.0,0.3,1.7,273,0,222,0,-,-,119,-,-,-,-
30,217,120,Yes,"BENSON BOONE","In The Stars",Warner,,-,12,5,7,0,0,0,9,3,0.073,0.025,0.048,70,115,6,2,6,2.0,0.8,1.2,114,12,94,9,-,500,120,-,-,-,-
43,208,121,Yes,"LOST FREQUENCIES, CALUM SCOTT","Where Are You Now",Capitol-RCA,,-,12,6,6,0,0,6,6,0,0.092,0.046,0.046,59,85,6,0,6,2.0,1.0,1.0,118,12,85,12,-,227,121,-,-,-,-
67,207,122,Yes,"PAPI JAY","Pleurs Dans La Pluie",STE-4,Yes,-,12,6,6,0,0,0,0,12,0.016,0.025,-0.009,155,116,6,0,6,2.0,1.0,1.0,116,12,223,0,-,-,122,-,-,-,-
114,115,123,Yes,ZAZ,"Mon Sourire",Audiogram,Yes,-,12,12,0,0,6,0,0,6,0.043,0.019,0.024,107,130,6,0,6,2.0,2.0,0.0,117,12,102,6,-,357,123,-,-,-,-
80,112,124,,"SARAH VANDERZON","Fortune Teller","Universal Music Canada",Yes,-,12,13,-1,0,1,0,0,11,0.003,0.004,-0.001,241,192,4,0,4,3.0,3.3,-0.3,122,12,182,1,-,310,124,78,-,-,-
45,107,125,,"LA ZARRA","Tu T'En Iras","Universal Music Canada",Yes,-,12,14,-2,0,0,0,6,6,0.055,0.076,-0.021,82,65,6,0,6,2.0,2.3,-0.3,123,12,103,6,-,-,125,-,-,-,-
42,109,126,,KAYLEM,"Passer Par La",Coyote,Yes,-,12,14,-2,0,0,0,0,12,0.019,0.019,0.000,150,124,6,0,6,2.0,2.3,-0.3,115,12,224,0,-,106,126,-,-,-,-
