Published Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Ending: 04/18/2026        Panel: Mediabase - Published Smooth AC Panel        Format: Smooth Jazz        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Wks On,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,
,LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,Smooth Jazz,Big Picture
60,65,60,Yes,MO'HORNS,Got To Be Enough,---,-,47,45,2,5,6,16,10,10,0.039,0.035,0.004,62,73,9,0,9,5.2,5,0.2,47,42,51,32,60,-
53,53,61,,CHRIS STANDRING,Hollywood Hustle,Ultimate Vibe,-,45,54,-9,7,14,14,5,5,0.052,0.056,-0.004,46,41,8,0,8,5,6,-1,55,38,47,33,61,-
62,79,62,Yes,MARCUS ANDERSON,Grounded,Anderson Music,-,44,36,8,8,11,9,7,9,0.044,0.032,0.012,55,85,8,1,8,4.9,4,0.9,59,36,59,27,62,-
38,68,63,Yes,BEN TANKARD,Can't Get Enough,Ben-Jamin' Universal,-,44,43,1,9,10,9,7,9,0.038,0.033,0.005,67,83,8,0,8,4.9,4.8,0.1,64,35,64,26,63,-
64,67,64,Yes,MICHAEL PAULO,Flashback,Woodward Avenue,-,44,43,1,10,4,12,9,9,0.025,0.017,0.008,120,139,7,0,7,6.3,6.1,0.1,65,34,68,25,64,-
65,299,65,Yes,JACOB WEBB,It's A Boy,Next Paradigm,-,43,6,37,11,5,11,10,6,0.023,0,0.023,124,1411,7,4,7,6.1,0.9,5.3,67,32,65,26,65,-
54,69,66,,JASON JACKSON,Drop The Needle,MBF,-,42,43,-1,12,9,9,6,6,0.04,0.034,0.006,58,77,6,0,6,7,7.2,-0.2,73,30,70,24,66,-
67,78,67,Yes,ROBERTO VALLY,Hang Loose,Bad Note,-,41,37,4,14,4,10,9,4,0.029,0.032,-0.003,111,91,6,0,6,6.8,6.2,0.7,81,27,72,23,67,-
36,72,68,Yes,PATRICK LAMB,I Just Wanna Stop f/B. Slade,Patrick Lamb Prod,-,41,39,2,9,6,10,6,10,0.028,0.028,0,113,110,8,0,8,4.6,4.3,0.2,69,32,75,22,68,-
69,71,69,,AOS (ARCHITECTS OF SOUND),Kyoto,SRG Jazz,-,41,42,-1,7,5,12,11,6,0.053,0.055,-0.002,44,42,7,0,7,5.1,5.3,-0.1,66,34,56,28,69,-
64,64,70,,RANDAL CLARK,Slow Motion f/Kris Johnson,Clark Music,-,41,45,-4,6,10,10,6,9,0.003,0.003,0,364,351,5,0,5,8.2,9,-0.8,63,35,66,26,70,-
71,84,71,Yes,GREG FREEMAN,Appreciation f/Robert Skinner,---,-,40,35,5,11,6,8,5,10,0.013,0.01,0.003,158,175,6,0,6,6.7,5.8,0.8,75,29,89,19,71,-
72,76,72,Yes,RYAN MONTANO,Starfire,Simply 6,-,40,37,3,8,5,13,9,5,0.045,0.036,0.009,53,68,5,0,5,8,7.4,0.6,68,32,60,27,72,-
73,662,73,Yes,OLI SILK,Yessir! f/Jeff Ryan,Trippin 'N' Rhythm,-,38,2,36,9,5,11,9,4,0.035,0.001,0.034,78,638,8,6,8,4.8,0.3,4.5,79,29,69,25,73,-
74,100,74,Yes,PATRICK BRADLEY,Narrow Path,Patrick's Song Factory,-,38,30,8,9,11,3,6,9,0.039,0.028,0.011,59,108,6,0,6,6.3,5,1.3,76,29,81,20,74,-
75,87,75,Yes,RONNIE LAWS,Ribbon In The Sky,Right Stuff,-,38,34,4,7,6,6,4,15,0.034,0.04,-0.006,82,57,6,0,6,5.4,4.9,0.6,70,31,103,16,75,-
37,88,76,Yes,JOEL DEL ROSARIO,Chasing Sunsets,---,-,38,34,4,9,6,9,5,9,0.015,0.01,0.005,142,173,6,0,6,5.4,4.9,0.6,78,29,82,20,76,-
77,83,77,Yes,DAVID GARFIELD,Ventura Coast f/Dave Koz,Creatchy,-,38,35,3,8,9,11,4,6,0.033,0.035,-0.002,85,71,7,0,7,4.8,4.4,0.4,72,30,71,24,77,-
78,107,78,Yes,BURNIE STEVENSON,Inviting f/Gerald Albright,Nahree,-,37,28,9,10,4,7,6,10,0.013,0.013,0,161,158,5,0,5,7.4,5.6,1.8,86,27,96,17,78,-
38,82,79,Yes,MARCUS ANDERSON,Farewell f/Donald Hayes,Anderson Music,-,37,36,1,11,5,11,4,6,0.014,0.006,0.008,149,223,6,0,6,6.2,6,0.2,91,26,83,20,79,-
75,77,80,Yes,WILLIE BRADLEY,K.J.'s Bop f/James Lloyd,Willie Bradley Music,-,37,37,0,10,4,8,5,10,0.023,0.014,0.009,122,147,8,0,8,4.1,4.1,0,82,27,97,17,80,-
81,185,81,Yes,HIL ST. SOUL,Vibrate High,Shanachie,-,36,15,21,7,7,7,8,7,0.037,0.006,0.031,68,235,7,1,7,5.1,2.1,3,74,29,76,22,81,-
82,126,82,Yes,REGI MYRIX,The Sweetest f/Ty Juan,Myrix,-,36,24,12,8,9,4,5,10,0.029,0.03,-0.001,109,99,3,0,3,12,8,4,80,28,93,18,82,-
83,90,83,Yes,LEMEK,Dance,Trippin 'N' Rhythm,-,36,33,3,5,8,10,5,8,0.036,0.032,0.004,73,90,6,0,6,5.1,4.7,0.4,71,31,73,23,83,-
84,92,84,Yes,JAY ROWE,The Next Step,Independent,-,36,33,3,9,7,9,6,5,0.014,0.017,-0.003,153,140,7,1,7,5.1,4.7,0.4,90,27,77,22,84,-
49,91,85,Yes,ROBERT LEE BALDERRAMA,Sunset Beach,Bullfrog,-,34,33,1,9,6,5,8,6,0.008,0.017,-0.009,179,133,6,0,6,4.3,4.1,0.1,97,25,90,19,85,-
86,86,86,Yes,CALI JONES,Midnight Strut,MW,-,34,34,0,5,4,11,8,6,0.017,0.013,0.004,133,155,5,0,5,5.7,5.7,0,77,29,74,23,86,-
80,80,87,,ALLI STARR,Samba Love,Innervision,-,34,36,-2,7,7,6,8,6,0.037,0.042,-0.005,71,54,6,0,6,5.7,6,-0.3,88,27,79,21,87,-
51,75,88,,DOUG JONES,Retro Blue,B-Hive,-,34,37,-3,7,4,9,9,5,0.048,0.047,0.001,51,49,7,0,7,4.9,5.3,-0.4,84,27,78,22,88,-
44,73,89,,SPECIAL EFX,Marbella,Chieli,-,34,38,-4,10,7,9,4,4,0.007,0.013,-0.006,217,157,6,0,6,4.3,4.8,-0.5,99,24,84,20,89,-
30,116,90,Yes,MICHAEL LINGTON,Goodbye,Copenhagen,1,33,26,7,6,1,7,7,12,0.019,0.005,0.014,129,274,6,0,6,5.5,4.3,1.2,87,27,106,15,90,-
91,97,91,Yes,CRAIG SHARMAT,Santa Barbara Cruising,Innervision,-,33,31,2,6,7,7,5,8,0.037,0.04,-0.003,70,58,6,1,6,5.5,5.2,0.3,83,27,91,19,91,-
92,98,92,Yes,ARTHUR THOMPSON,I Needed You f/Peter White,Arthurized,-,33,31,2,8,4,4,5,12,0.032,0.034,-0.002,91,79,5,0,5,6.6,6.2,0.4,94,25,126,13,92,-
88,94,93,Yes,KATHY KOSHINS,Magical Island,---,-,33,32,1,8,9,6,3,7,0.029,0.025,0.004,107,118,4,0,4,8.3,8,0.3,95,25,94,18,93,-
